turbidez,ln_B01,ln_B02,ln_B03,ln_B04,ln_B05,ln_B06,ln_B07,ln_B08,ln_B11,ln_B12,ln_B8A
2.0,-1.8702601950705782,-1.836361748176416,-1.7177038793986446,-1.7755580898900474,-1.8008058199055603,-1.910802673563564,-1.9042922491295902,-1.9330670499313962,-1.9296718730546045,-1.9488893509921466,-1.9307422013774813
4.0,-1.906900685065418,-1.857590677377428,-1.7590556716105024,-1.8484709241454973,-1.8946077111910467,-2.007188065819653,-1.9965072920503,-2.024700863022376,-2.066847111447259,-2.0754808769591633,-2.0227321998510472
4.5,-1.9514392955411854,-1.888637544204542,-1.8077533589824046,-1.9195170860316424,-1.9745761485749538,-2.0912723617673175,-2.0715339999707885,-2.0918740617283937,-2.140141513557238,-2.1490238725781414,-2.1056714464096067
5.0,-1.8861159372933656,-1.8794983835360624,-1.7450667412360727,-1.81618878315123,-1.8461584584902082,-1.952226583570329,-1.9478237844436714,-1.967860414208954,-1.986745887882984,-1.9961886076857176,-1.9807532357900748
6.0,-1.8700003289827667,-1.8556937285241468,-1.7800285463523564,-1.8740547119548852,-1.9227702317875823,-2.0312812054400102,-2.00326269938559,-2.0099154790312257,-2.038038382735012,-2.053340707007642,-2.0428578494204586
11.0,-1.8426975635487244,-1.8315403392399,-1.6988764750813419,-1.7622653940003528,-1.7853591616303692,-1.930997590488119,-1.915599876271938,-1.9545921734381628,-1.9653641288027803,-1.9838940163068253,-1.9603803109172984
15.0,-1.9252622908321617,-1.8468494355460152,-1.7216738616613676,-1.7492109659820991,-1.816462081868427,-2.023891210235053,-2.0156845758770854,-2.066284038075624,-2.1449879780007106,-2.171623840630035,-2.083064764297291
15.5,-1.8086640499208584,-1.8623965488274956,-1.663366254459656,-1.658628156624872,-1.713899912125239,-1.95589244569716,-1.942902177541009,-2.0261325024938137,-1.932444962945495,-1.9568552453569414,-1.9814632073958574
17.0,-1.6318290954851098,-1.5002845985375781,-1.3185941766447409,-1.3118880207839694,-1.374374024807625,-1.597684340411193,-1.594340646285845,-1.6750436695320943,-1.653970486350891,-1.695396813168191,-1.638888178899199
17.5,-1.592375965478184,-1.4959108341098808,-1.3240083750356133,-1.3124657930752266,-1.3960781780594922,-1.6251051439452031,-1.631942729024171,-1.6798007695420016,-1.7259561233186826,-1.7536491479727665,-1.6821056828601437
19.0,-1.6523091696113554,-1.4967046424468613,-1.3386477076525376,-1.3195083674418404,-1.3628274316215663,-1.5718310810158445,-1.5712092777664446,-1.6656555924323293,-1.6507048844143648,-1.693004472050353,-1.6306899229121454
